epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14875,1.11366,6.90265,2.61314,1.54614,0.00333,1,0.09688,0.05765,0.00333,1,0.0222,0.01243,0.70124,4.78836,3.00991,1.42418,0.0001,0.0001,0.0001
2,11.804,0.98521,5.12296,2.47299,1.45743,0.00333,1,0.9125,0.67204,0.00333,1,0.9125,0.5892,0.79597,1.48033,2.94613,1.54506,0.000215644,0.000215644,0.000215644
3,14.3164,0.61149,1.60917,1.44074,1.188,0.00333,1,0.995,0.8072,0.00333,1,0.995,0.85154,0.55598,1.26071,2.71882,1.45672,0.000326536,0.000326536,0.000326536
4,16.7348,0.62142,1.09623,1.08064,1.14738,0.85174,1,0.995,0.86254,0.85174,1,0.995,0.86254,0.71132,1.29535,2.43155,1.53125,0.000432676,0.000432676,0.000432676
5,19.1488,0.542,0.87585,0.92584,1.09533,0.9311,1,0.995,0.88507,0.9311,1,0.995,0.88507,0.60078,1.5859,2.10805,1.54097,0.000534064,0.000534064,0.000534064
6,21.6011,0.52933,0.74091,0.86489,1.11144,1,0.76329,0.995,0.69919,1,0.76329,0.995,0.74686,0.93246,0.97373,2.61203,1.82666,0.0006307,0.0006307,0.0006307
7,23.9977,0.51611,0.66598,0.85079,1.09753,0.89515,1,0.995,0.86307,0.89515,1,0.995,0.92904,0.67555,0.83645,2.14911,1.55454,0.000722584,0.000722584,0.000722584
8,26.417,0.53291,0.69102,0.83898,1.07392,0.97246,1,0.995,0.86307,0.97246,1,0.995,0.89607,0.69935,1.57009,1.80802,1.71097,0.000809716,0.000809716,0.000809716
9,28.826,0.56145,0.71006,0.84918,1.09974,0.98243,1,0.995,0.86307,0.98243,1,0.995,0.88507,0.57478,1.51264,1.52212,1.42833,0.000892096,0.000892096,0.000892096
10,31.1664,0.51461,0.64123,0.78197,1.06589,0.98311,1,0.995,0.89607,0.98311,1,0.995,0.86307,0.54804,1.1108,1.41944,1.59692,0.000969724,0.000969724,0.000969724
11,33.6356,0.51574,0.62533,0.77636,1.07951,1,0.99982,0.995,0.95104,1,0.99982,0.995,0.92904,0.39746,0.82651,1.30248,1.11308,0.0010426,0.0010426,0.0010426
12,36.0217,0.49724,0.57114,0.78292,1.04507,0.97815,1,0.995,0.92904,0.97815,1,0.995,0.92904,0.53718,0.75615,1.16419,1.3554,0.00111072,0.00111072,0.00111072
13,38.3688,0.50875,0.62308,0.70949,1.07783,0.98328,1,0.995,0.93987,0.98328,1,0.995,0.995,0.55142,0.60004,1.07089,1.48389,0.0011741,0.0011741,0.0011741
14,40.7457,0.5281,0.5671,0.6823,1.06773,0.98723,0.66667,0.83,0.73054,0.98723,0.66667,0.83,0.747,0.56946,0.72029,1.40423,1.26482,0.00123272,0.00123272,0.00123272
15,43.0707,0.53108,0.64217,0.67355,1.05981,0.63545,0.66667,0.72,0.58683,0.63545,0.66667,0.72,0.60093,0.83316,0.9735,1.64034,1.54064,0.00128658,0.00128658,0.00128658
16,45.4038,0.50517,0.56447,0.69556,1.06385,0.97717,1,0.995,0.63872,0.97717,1,0.995,0.55526,1.01956,4.22102,1.48658,1.86326,0.0013357,0.0013357,0.0013357
17,47.7316,0.52456,0.65338,0.67842,1.0644,0.97563,1,0.995,0.76361,0.97563,1,0.995,0.71961,0.85415,4.84935,1.39395,1.8046,0.0013664,0.0013664,0.0013664
18,50.0776,0.48902,0.60282,0.66346,1.05919,0.98266,1,0.995,0.8955,0.98266,1,0.995,0.83011,0.70319,2.96877,1.01676,1.54365,0.0013268,0.0013268,0.0013268
19,52.3525,0.49683,0.61479,0.62605,1.0514,1,0.99132,0.995,0.64736,1,0.99132,0.995,0.63118,0.98808,2.22697,1.28477,1.63118,0.0012872,0.0012872,0.0012872
20,54.6873,0.47999,0.66723,0.60809,1.07055,0.72527,1,0.74625,0.41519,0.72527,1,0.74625,0.48981,1.45942,0.687,1.68389,2.11471,0.0012476,0.0012476,0.0012476
21,56.955,0.50127,0.60033,0.61704,1.04686,0.70296,1,0.74625,0.41295,0.70296,1,0.74625,0.47009,1.00356,0.61502,1.81773,1.59469,0.001208,0.001208,0.001208
22,59.2519,0.52903,0.6571,0.64067,1.04857,0.71639,1,0.74625,0.40544,0.71639,1,0.74625,0.44922,0.83788,0.58166,1.74709,1.55799,0.0011684,0.0011684,0.0011684
23,61.5224,0.49542,0.65515,0.6287,1.05755,0.9405,1,0.995,0.76361,0.9405,1,0.995,0.76954,0.58218,0.52638,1.2405,1.43345,0.0011288,0.0011288,0.0011288
24,63.8039,0.47685,0.59473,0.59012,1.02352,0.98406,1,0.995,0.8955,0.98406,1,0.995,0.91229,0.5696,0.57084,0.78139,1.46026,0.0010892,0.0010892,0.0010892
25,66.168,0.39295,0.49882,0.51862,0.98419,0.98546,1,0.995,0.86254,0.98546,1,0.995,0.89607,0.6107,0.50608,0.93015,1.56015,0.0010496,0.0010496,0.0010496
26,68.4583,0.46794,0.56085,0.55885,1.03598,0.94119,1,0.995,0.84425,0.94119,1,0.995,0.87247,0.56608,0.46577,0.98657,1.38538,0.00101,0.00101,0.00101
27,70.7273,0.47124,0.56875,0.59171,1.01596,0.98162,1,0.995,0.85154,0.98162,1,0.995,0.92904,0.64691,0.46703,0.73033,1.41362,0.0009704,0.0009704,0.0009704
28,73.0194,0.43895,0.5179,0.58304,1.01518,0.98152,1,0.995,0.93987,0.98152,1,0.995,0.995,0.4524,0.40934,0.74663,1.07887,0.0009308,0.0009308,0.0009308
29,75.2961,0.42398,0.55409,0.52811,1.00359,0.98294,1,0.995,0.8955,0.98294,1,0.995,0.995,0.51566,0.38325,0.66065,1.22273,0.0008912,0.0008912,0.0008912
30,77.6112,0.43537,0.53366,0.52497,1.00901,0.98521,1,0.995,0.8955,0.98521,1,0.995,0.95104,0.61642,0.38123,0.63506,1.48095,0.0008516,0.0008516,0.0008516
31,79.8923,0.40878,0.49996,0.50581,0.99357,0.98375,1,0.995,0.8955,0.98375,1,0.995,0.95104,0.61721,0.36991,0.71765,1.35405,0.000812,0.000812,0.000812
32,82.1718,0.42454,0.5305,0.53172,1.01424,0.98555,1,0.995,0.86311,0.98555,1,0.995,0.995,0.65943,0.35989,0.75011,1.48138,0.0007724,0.0007724,0.0007724
33,84.4704,0.45116,0.57481,0.52458,1.01353,0.98333,1,0.995,0.79716,0.98333,1,0.995,0.995,0.80324,0.35963,0.74452,1.8066,0.0007328,0.0007328,0.0007328
34,86.7702,0.40839,0.54267,0.50034,1.00417,0.98303,1,0.995,0.86312,0.98303,1,0.995,0.995,0.61525,0.36121,0.70123,1.24008,0.0006932,0.0006932,0.0006932
35,89.0722,0.38858,0.49741,0.46851,0.97239,0.98319,1,0.995,0.995,0.98319,1,0.995,0.995,0.33947,0.36853,0.61065,0.98271,0.0006536,0.0006536,0.0006536
36,91.3541,0.38198,0.50743,0.48142,0.97242,0.98451,1,0.995,0.995,0.98451,1,0.995,0.995,0.2845,0.44141,0.52011,0.91188,0.000614,0.000614,0.000614
37,93.6516,0.34829,0.43586,0.43391,0.97009,0.98468,1,0.995,0.995,0.98468,1,0.995,0.995,0.27725,0.45913,0.55105,0.89489,0.0005744,0.0005744,0.0005744
38,95.988,0.37028,0.48995,0.41683,0.97371,0.98363,1,0.995,0.995,0.98363,1,0.995,0.995,0.31387,0.4653,0.54658,0.93038,0.0005348,0.0005348,0.0005348
39,98.3738,0.44097,0.56752,0.48547,1.00666,0.98334,1,0.995,0.96204,0.98334,1,0.995,0.96204,0.32865,0.4507,0.5614,0.92663,0.0004952,0.0004952,0.0004952
40,100.862,0.40649,0.52641,0.47015,1.00451,0.98663,1,0.995,0.995,0.98663,1,0.995,0.995,0.23983,0.38346,0.41955,0.86301,0.0004556,0.0004556,0.0004556
41,104.678,0.47689,1.05439,1.527,1.08628,0.98652,1,0.995,0.995,0.98652,1,0.995,0.995,0.31379,0.36963,0.52991,0.99815,0.000416,0.000416,0.000416
42,107.113,0.44856,0.50207,1.25098,1.05858,0.99941,1,0.995,0.8955,0.99941,1,0.995,0.995,0.64235,0.37295,1.20534,1.42473,0.0003764,0.0003764,0.0003764
43,109.398,0.45911,0.55116,1.03526,1.10683,0.98453,1,0.995,0.8955,0.98453,1,0.995,0.995,0.65037,0.38299,1.19774,1.44022,0.0003368,0.0003368,0.0003368
44,111.618,0.41654,0.43516,0.97304,1.09853,0.98341,1,0.995,0.93987,0.98341,1,0.995,0.995,0.38585,0.38593,0.77432,1.08038,0.0002972,0.0002972,0.0002972
45,113.813,0.31019,0.31831,0.83277,1.0134,0.97876,1,0.995,0.995,0.97876,1,0.995,0.995,0.34504,0.37972,0.7003,0.97296,0.0002576,0.0002576,0.0002576
46,116.103,0.34632,0.3711,0.79883,0.98952,0.97837,1,0.995,0.995,0.97837,1,0.995,0.995,0.2378,0.37092,0.54864,0.86556,0.000218,0.000218,0.000218
47,118.302,0.30399,0.3804,0.81324,0.97244,0.98068,1,0.995,0.995,0.98068,1,0.995,0.995,0.21906,0.36568,0.49295,0.8521,0.0001784,0.0001784,0.0001784
48,120.537,0.30564,0.29328,0.75891,1.00293,0.98452,1,0.995,0.995,0.98452,1,0.995,0.995,0.24437,0.36114,0.46054,0.88688,0.0001388,0.0001388,0.0001388
49,122.783,0.31993,0.49894,0.82822,0.92144,0.98575,1,0.995,0.995,0.98575,1,0.995,0.995,0.24638,0.36161,0.4657,0.89601,9.92e-05,9.92e-05,9.92e-05
50,125.042,0.3713,0.52854,0.84872,0.9593,0.98669,1,0.995,0.995,0.98669,1,0.995,0.995,0.22896,0.36297,0.46174,0.87173,5.96e-05,5.96e-05,5.96e-05
